index,Name of Project,Location,Source of Funds,% WT Actual,% WT Plan,Slippage,Contract Amount,No. of Days,Date Started,Target Date of Completion,Date Completed,Project Engineer,Implementor,Remarks,Report Date,Month,Year,Project Engineer/Site Engineer
2018-12-01,Upgrading of Brgy. Poblacion-Matapol Road,Norala,2018-20% LDF,1.45,0.76,0.69,9976002.83,150,12/20/18,5/18/19,,A SOBREVEGA,GABRIELLAS ENTERPRISES,On-going,2018-12-01,December,2018,
2018-12-01,"Const. of Bridge @ New Dumangas, T'boli-Sitio Roxas",T'boli,CY 2016 CONT. APPROP.,60.9,95.08,-34.18,24961302.94,340,6/25/17,7/9/18,,ME Dondiego,FREDEN CONSTRUCTION,"Project suspended as of July 9, 2018",2018-12-01,December,2018,
2018-12-01,Conc. Of Road Leading to Bakngeb underground River,T'boli,CY 2017 20% LDF,67.45,100,-32.55,4995579.03,80,12/25/17,6/16/18,,MJ Dauz,JAMI CONST. & SUPPLY,On-going; major issue: no heavy equipments and insuffiecient manpower,2018-12-01,December,2018,
2018-12-01,"Construction of Box Culvert along Malu Creek, Sitio Bianan, Brgy. Basag",T'boli,2018 CONT. APPROP. PDRRMF #45,100,100,0,2992000,205,5/21/18,12/11/18,12/11/18,J JANUTO,FREDEN CONSTRUCTION,Completed,2018-12-01,December,2018,
2018-12-01,"Construction of Stage, Brgy. Datal D'lanag",T'boli,CY 2018 20% LDF,1.37,19.27,-17.9,992963.44,90,11/21/18,2/18/19,,MJ Dauz,NIRVANA CONST. & SUPPLIES,On-going,2018-12-01,December,2018,
2018-12-01,Construction of One (1) Unit Warehouse and Drier,Surallah & T'boli,PRDP,9,3.32,5.68,2996169.76,90,11/3/18,3/7/19,,MJ Dauz,ROCKSTONE CONST. SERVICES & SUPPLY,On-going,2018-12-01,December,2018,
2018-12-01,Completion of Sports Learning Center @ Aflek NHS,T'boli,SEF SB#1-999-CONST. OF SCHOOL BLDG. & OTHER FACILITIES,1.99,1.99,0,995000,90,12/23/18,3/22/19,,J JANUTO,FREDEN CONSTRUCTION,On-going,2018-12-01,December,2018,
2019-01-01,"Completion of Sports Learning center, Brgy. Sumbakil E/S",Polomolok,SEF SB #1-999-CONSTRUCTION OF SCHOOL BLDGS. & OTHER FACILITIES,11.48,16.68,-5.2,994602.93,90,12/16/18,3/15/19,,J JANUTO,ROCKSTONE CONST. SERVICES & SUPPLY,On-going,2019-01-01,January,2019,
2019-01-01,"Completion of Sports Learning center @ Kalyong E/S, Brgy. Landan",Polomolok,SEF SB #1-999-CONSTRUCTION OF SCHOOL BLDGS. & OTHER FACILITIES,10.57,11.78,-1.21,996872.98,90,12/12/18,3/11/19,,J JANUTO,THREE G BUILDERS,On-going,2019-01-01,January,2019,
2019-01-01,"Construction of Gabion/Dike, Brgy. Klinan 6",Polomolok,SEF SB #1-999-CONSTRUCTION OF SCHOOL BLDGS. & OTHER FACILITIES,0.09,2.6,-2.51,5353075.72,72,12/16/18,2/25/19,,J JANUTO,ROCKSTONE CONST. SERVICES & SUPPLY,"Suspended as of jan. 7, 2019 due to delay of the supplier to provide the steel sheet piles immediately",2019-01-01,January,2019,
2019-01-01,"Construction of Bleacher, Brgy. Koronadal Proper",Polomolok,CY 2018 20% LDF,33.17,31.22,1.95,993780.55,60,12/16/18,3/15/19,,J JANUTO,ROCKSTONE CONST. SERVICES & SUPPLY,On-going,2019-01-01,January,2019,
2019-01-01,"Construction of Sports Learning center, Brgy. Polonoling NHS",Tupi,SEF SB #1-999-CONSTRUCTION OF SCHOOL BLDGS. & OTHER FACILITIES,13.02,10.9,2.12,3190253.56,130,12/11/18,4/19/19,,J JANUTO,CRISNARD CONST. & SUPPLY,On-going,2019-01-01,January,2019,
2019-01-01,Const. of Box Culvert @ Prk. Malipayon,Tupi,CY 2017 CONT APPROP. #24,65.29,72.62,-7.33,1935054.16,135,11/5/17,2/28/19,,J JANUTO,KING BUILDERS CONST. & SUPPLY,On-going,2019-01-01,January,2019,
2019-01-01,Upgrading of Acmonan Road,Tupi,CY 2018 20% LDF 4.2.12,100,100,0,9968842.72,165,7/23/18,1/3/19,,J JANUTO,PASE CONSTRUCTION,Completed,2019-01-01,January,2019,
2019-01-01,Const. of 2CL School Bldg. w/ Two Seater Attached Toilet @ Ricardo D. Avila Elementary School,Tupi,2018 CONT. APPRO GF #41,14.08,16.28,-2.2,1979900.18,120,10/2/18,3/10/19,,J JANUTO,ILON MULTIBUILDERS CO.,On-going,2019-01-01,January,2019,
2019-01-01,"Construciton of One (1) Unit Coffee trading Center, Brgy. Poblacion",Tupi,PRDP,49.18,46.05,3.13,2395072.06,90,11/3/18,1/31/19,,J JANUTO,ROCKSTONE CONST. SERVICES & SUPPLY,On-going; request for 40 CD time extension is on process,2019-01-01,January,2019,
2019-01-01,Construciton of Signages/Wayfinders in key Tourist destination/Information Warning Devices,Tupi,2018 CONT. APPRO GF #65,0,0.24,-0.24,1784823.3,120,11/21/18,3/19/19,,J JANUTO,PASE CONSTRUCTION,"Suspended as of Dec. 5, 2018 location was already settled, waiting for the approved revised plan",2019-01-01,January,2019,
2019-01-01,"Const. of one (1) Unit Warehouse and Drier @ Brgy. Kinilis, Polomolok & Brgy. Poblacion, Tampakan",Polomolok & Tampakan,PRDP,45.37,47.17,-1.8,2994969.77,90,11/3/18,1/31/19,,J JANUTO,ROCKSTONE CONST. SERVICES & SUPPLY,On-going,2019-01-01,January,2019,
2019-01-01,Construction of Sitio El Nama Bridge,Tupi,CY 2016 CONT APPROP. #182-GF,97,100,-3,4904647.08,220,6/12/16,1/17/17,,A. DEMETILLO,CS CONSTRUCTION & SUPPLY,On-going; subject for LD,2019-01-01,January,2019,
2019-01-01,Completion of Sports Learning Center @ Miasong Elementary School,Tupi,SEF SB #1-999-CONSTRUCTION OF SCHOOL BLDGS. & OTHER FACILITIES,1.04,0.98,0.06,997275.95,90,1/21/19,4/20/19,,A. DEMETILLO,MS LAGMAN TRACTORS & CONST. INC.,On-going,2019-01-01,January,2019,
2019-01-01,"Construction of Covered Court, Brgy. Pula Bato",Tampakan,2018 CONT. APPRO GF #304,55.73,84.59,-28.86,4066740.44,180,9/4/18,3/2/19,,A DEMETILLO,ILON MULTIBUILDERS CO.,On-going,2019-01-01,January,2019,
2019-01-01,"Construciton of Lined Canal @ Godmaling, Prk, Quezon, Brgy. Sta. Cruz",Tampakan,2018 NON-OFFICE PDRRMF 3.A.10,43.3,26.03,17.27,5336492.32,240,10/10/18,6/6/19,,A DEMETILLO,PASE CONSTRUCTION,On-going,2019-01-01,January,2019,
2019-01-01,Rehabilitation of Albagan Road,Tampakan,,89.63,100,-10.37,5986721.47,100,9/26/17,9/18/18,,A BARRIENTOS,JAMI CONST. & SUPPLY,On-going; due for LD,2019-01-01,January,2019,
2019-01-01,Const. of Albagan Gym with Stage,Tampakan,CY 2017 20% LDF,90.64,100,-9.36,4033389.66,200,11/28/17,6/15/18,,A BARRIENTOS,JAMI CONST. & SUPPLY,On-going; due for LD,2019-01-01,January,2019,
2019-01-01,"Const. of Salway Box Culvert, Brgy. Tablu",Tampakan,9999-Non-Office 5% CF,60.78,91.2,-30.42,2987473.44,135,12/26/17,10/17/18,,A BARRIENTOS,MFN BUILDERS,"Suspended as of oct. 11, 2018 due to the suited actual field condition by straightening the roadway traverse line was contrary to the approved plan",2019-01-01,January,2019,
2019-01-01,Completion of Sport Learning Center @ Kipalbig E/S,Tampakan,SEF SB #1-999-CONSTRUCTION OF SCHOOL BLDGS. & OTHER FACILITIES,16.22,26.82,-10.6,995550.59,90,12/10/18,3/9/19,,A BARRIENTOS,ILON MULTIBUILDERS CO.,On-going,2019-01-01,January,2019,
2019-01-01,Upgrading of Poblacion-Bukang Liwayway Road with Drainagae Canals,Tampakan,2018 20% LDF,2.75,1.91,0.84,10978444.57,150,1/22/19,6/20/19,,A DEMETILLO,"UNIFIED WORKERS CONST. & DEVELOPMENT MPC, INC.",On-going,2019-01-01,January,2019,
2019-01-01,Upgrading of San Jose-Columbio Bdry. Road,Koronadal City,CY 2018 20% LDF,96.5,99.61,-3.11,9988025.62,130,9/23/18,1/30/19,,S RENTOZA,GABRIELLAS ENTERPRISES,On-going,2019-01-01,January,2019,
2019-01-01,Alteration & Renovation of Extg. Wooden Spectator's Stand and Control Tower @ SCSC (Control Tower),Koronadal City,CY 2018 Cont. APPROP. GF #105,65.05,93.43,-28.38,5427551.51,150,9/6/18,2/3/19,,S RENTOZA,GABRIELLAS ENTERPRISES,On-going,2019-01-01,January,2019,
2019-01-01,Construction of Water System @ Brgy. Carpenter Hill,Koronadal City,CY 2018 20% LDF 4.4.1,72.22,25.46,46.76,4911276.54,226,9/23/18,5/6/19,,S RENTOZA,DUMALAG SURVEYING & ENG'G. SERVICES,On-going,2019-01-01,January,2019,
2019-01-01,Proposed Renovation of Provincial Capitol Roofing System,Koronadal City,CY 2018 20% LDF,58.11,53.02,5.09,3492415.22,90,11/28/18,2/25/19,,S RENTOZA,FH GOPITEO CONST. & SUPPLY,On-going,2019-01-01,January,2019,
2019-01-01,"Const. of Bukang Liwayway Bridge/Riverbank Protection, Prk. Artesian, Brgy. San Roque ",Koronadal City,CY 2016 20% LDF,83.84,93.86,-10.02,15950503.14,320,12/5/16,9/4/18,,E SOLATORIO,REYDAN BUILDERS,Suspended due to lacking of items for the installation of steel bridge; Variation Order #2 is on going,2019-01-01,January,2019,
2019-01-01,"Const. of 1 Unit Box Culvert Connecting Prk. Pag-asa & Prk. Blaan, Brgy. Magsaysay",Koronadal City,2017 PDRRMF-IP TF 2.4,92.49,100,-7.51,1263126.92,90,4/16/18,10/27/18,,E SOLATORIO,KING BUILDERS CONST. & SUPPLY,On-going,2019-01-01,January,2019,
2019-01-01,Completion of PDRR Operations Center & Warehouse @ PEO Compound,Koronadal City,999.4-SB#2-CPDRROCW,54.1,82.24,-28.14,1488317.54,70,4/8/18,6/16/18,,E SOLATORIO,ROCKSTONE CONST. SERVICES & SUPPLY,"Suspended as of June 14, 2018 due to the new policy of SOCOTECO 1 in banking of 100kVA transformer",2019-01-01,January,2019,
2019-01-01,Upgrading of Cacub to Palo 19 Road,Koronadal-Tampakan,CY 2016CONT. APPROP. #194-GF,91.07,100,-8.93,9769932.04,180,7/26/16,5/21/18,,E SOLATORIO,KING BUILDERS CONST. & SUPPLY,On-going; clearing work activities on site,2019-01-01,January,2019,
2019-01-01,"Construction of Provincial Head Quarter's Building, Brgy. Morales",Koronadal City,CY 2018 CONT. APPROP. #115-GF,67.98,70.05,-2.07,3995647.57,135,9/23/18,2/4/19,,E SOLATORIO,FH GOPITEO CONST. & SUPPLY,On-going; time extension on process,2019-01-01,January,2019,
2019-01-01,Construciton of Anatomy Laboratory for Medical Program at UP Campus,Koronadal City,CY 2018 CONT. APPRO GF #210,8.72,13.7,-4.98,1491968.43,60,11/21/18,1/19/19,,E SOLATORIO,PASE CONSTRUCTION,Suspended as of Dec. 13 due to backfillling materials and nipa houses on site; variation order on process,2019-01-01,January,2019,
2019-01-01,Upgrading of marbel Circumferential Road,Koronadal City,2018 20% LDF,62.16,54.37,7.79,1260452.16,45,12/26/18,2/8/19,,E SOLATORIO,PASE CONSTRUCTION,On-going,2019-01-01,January,2019,
2019-01-01,"Construction of Day Care Center, Brgy. Dumadalig",Tantangan,2018 CONT. APPRO SEF #46,25.82,9.2,16.62,1389437.49,90,11/21/18,2/18/19,,S RENTOZA,JANMARIE CONST. SERVICE & SUPPLY,On-going,2019-01-01,January,2019,
2019-01-01,"Installation of Power and Water System @ IPEMC, Brgy. Tinongcop",Tantangan,2018 20% LDF 5.2.2,100,100,0,397522.86,50,11/4/18,12/23/18,1/5/19,S RENTOZA,THREE G BUILDERS,Completed,2019-01-01,January,2019,
2019-01-01,"Construction of Multipurpose Building, Brgy. Poblacion",Tantangan,2018 20% LDF,1.73,25.52,-23.79,3085788.47,120,12/9/18,4/7/19,,S RENTOZA,MIGO CONSTRUCTION,On-going,2019-01-01,January,2019,
2019-01-01,Upgrading of Road Leading to the Provincial Integrated Environment Mgt. Center,Tantangan,2018 20% LDF,0,12.21,-12.21,5792930,105,12/23/18,4/5/19,,S RENTOZA,FREDEN CONSTRUCTION,On-going,2019-01-01,January,2019,
2019-01-01,"Construction of Vehicle Garage with Storage-Warehouse @ IPEMC, Brgy. Tinongcop",Tantangan,2018 20% LDF,0,8.75,-8.75,1429748.18,90,1/9/19,4/8/19,,S RENTOZA,ROCKSTONE CONST. SERVICES & SUPPLY,On-going,2019-01-01,January,2019,
2019-01-01,"Repair of Senior Citizen Building & Construciton of Covered Area with Stage, Brgy. Rang-ay",Banga,CY 2018 CONT. APPROP. GF# 256 & 58,100,100,0,1492117.32,140,9/5/18,1/22/19,1/22/19,MJ Dauz,FH GOPITEO CONST. & SUPPLY,Completed,2019-01-01,January,2019,
2019-01-01,"Const. of Multi Purpose Building (Barangay Hall), Brgy. Punong Grande",Banga,CY 2018 20% LDF,32.58,36.12,-3.54,3191578.09,120,11/14/18,3/13/19,,MJ Dauz,C.A. BETALAC CONST. & GEN. MDSE.,On-going,2019-01-01,January,2019,
2019-01-01,"Establishment of Food Processing & Demontration Area @ provincial Scion Grove, Nursery, Research & Demo Farm",Banga,2018 20% LDF,2.31,2.35,-0.04,1447878.28,95,11/27/18,3/1/19,,MJ Dauz,FH GOPITEO CONST. & SUPPLY,"Suspended as of Dec. 12, 2018 due to variation order",2019-01-01,January,2019,
2019-01-01,"Construction of Three CL (7x9) Building with Attached Toilet, Rang-ay Integrated School",Banga,SEF SB #1-999-CONSTRUCTION OF SCHOOL BLDGS. & OTHER FACILITIES,6.21,8.42,-2.21,2995385.13,150,12/20/18,5/18/19,,MJ Dauz,FH GOPITEO CONST. & SUPPLY,On-going,2019-01-01,January,2019,
2019-01-01,Construction of Sports Learning Center @ Lamba NHS (Matlong Campus),Banga,SEF SB #1-999-CONSTRUCTION OF SCHOOL BLDGS. & OTHER FACILITIES,40.47,13.59,26.88,3095811.6,130,12/10/18,4/18/19,,MJ Dauz,C.A. BETALAC CONST. & GEN. MDSE.,On-going,2019-01-01,January,2019,
2019-01-01,Installation of Slope Protection along Nhwy.-Liwanay-Kusan-Risco Road,Banga,2018 CONT. APPRO CF #42,0,5.08,-5.08,1993940.05,75,1/9/19,3/24/19,,MJ Dauz,ROCKSTONE CONST. SERVICES & SUPPLY,On-going,2019-01-01,January,2019,
2019-01-01,"Spring Dev't. & Inst. Of Level II Water System through Hydraulic Rampump, Brgy. San Vicente",Banga,CY 2017 20% LDF,61.59,91.06,-29.47,2700099.48,175,5/21/18,11/11/18,,ME Dondiego,DAVAO SANTHONY BUILDERS CORP.,"Suspended as of October 30, 2018 due to Variation order",2019-01-01,January,2019,
2019-01-01,"Completion of Barangay Hall, Brgy. Rizal, Poblacion",Banga,CY 2018 CONT. APPRO. GF #123,46.96,22.88,24.08,893970,80,10/25/18,2/6/19,,CJ HICBAN,NIRVANA CONST. & SUPPLIES,On-going,2019-01-01,January,2019,
2019-01-01,Completion of Sports Learning Center @ El Nonok integrated School,Banga,SEF SB #1-999-CONSTRUCTION OF SCHOOL BLDGS. & OTHER FACILITIES,8.5,21.56,-13.06,997315.63,90,12/12/18,3/11/19,,CJ HICBAN,THREE G BUILDERS,On-going; no contractor's project engineer on site,2019-01-01,January,2019,
2019-01-01,Const. of Riverbank Protection (Indigenous Materials) & Rechanelling of Waterway @ Brgy. San Miguel,Norala,SEF-212-11.1a,2.96,71.9,-68.94,2692684.72,60,11/1/16,12/1/18,,CJ HICBAN,ROCKSTONE CONST. SERVICES & SUPPLY,"Suspended as of Nov. 28, 2018 due to scarcity of bamboos & request of landowner to resurvey the project site",2019-01-01,January,2019,
2019-01-01,Conc. Of Provincial Road Lapus to Brgy. Liberty,Norala,CY 2018 CONT. APPROP. GF #75,6.8,11.17,-4.37,17240000,125,3/29/18,7/31/18,,CJ HICBAN,FREDEN CONSTRUCTION,"Project suspended as of April 25, 2018 due to road right of way problem",2019-01-01,January,2019,
2019-01-01,Rehabilitation of NDH Water System,Norala,CY 2017 20% LDF,100,100,0,375786.23,40,12/21/17,9/22/18,1/22/19,A SOBREVEGA,ROCKSTONE CONST. SERVICES & SUPPLY,Completed,2019-01-01,January,2019,
2019-01-01,Upgrading of Jct. provincial Road-Lopez Jaena to Brgy. Katipunan,Norala & Sto. Niño,CY 2018 20% LDF #4.2.14,89.13,86.79,2.34,9988834.34,162,9/6/18,2/14/19,,A SOBREVEGA,FREDEN CONSTRUCTION,On-going,2019-01-01,January,2019,
2019-01-01,Upgrading of jct. Nhwy. Panay-San Vicente-Guinsang-an Road,Sto. Niño,2018 20% LDF,33.86,13.44,20.42,14976633.83,165,11/14/18,4/27/18,,MJ Dauz,FH GOPITEO CONST. & SUPPLY,On-going,2019-01-01,January,2019,
2019-01-01,"Construction of Day Care Center, Brgy. M. Roxas",Sto. Niño,CY 2018 Cont. Appro SEF #44,86.48,54.58,31.9,1391639.27,90,11/21/18,2/18/19,,ME Dondiego,FH GOPITEO CONST. & SUPPLY,On-going,2019-01-01,January,2019,
2019-01-01,Completion of Sports Learning Center @ Sto. Niño CES,Sto. Niño,SEF SB #1-999-CONSTRUCTION OF SCHOOL BLDGS. & OTHER FACILITIES,3.22,4.54,-1.32,4070985.86,165,12/16/18,5/29/19,,ME Dondiego,ROCKSTONE CONST. SERVICES & SUPPLY,On-going,2019-01-01,January,2019,
2019-01-01,Concreting of Tubi-ala Lambontong Road part. Approaching to Malomboy Bridge,Surallah,CY 2017 20% LDF,84.89,100,-15.11,8494519.47,160,1/2/18,6/10/18,,ME Dondiego,HEXAMINDZ CORPORATION,On-going; project expired as of June 10,2019-01-01,January,2019,
2019-01-01,Construction of Dog Impounding facility Ecological Park,Surallah,CY 2018 Cont. Appro GF # 316,88.41,100,-11.59,1791047.18,120,8/15/18,1/15/19,,CJ HICBAN,FH GOPITEO CONST. & SUPPLY,On-going,2019-01-01,January,2019,
2019-01-01,Installation of Lined Canal along Crossing Verayo - Lambontong Rd,Surallah,CY 2018 20% LDF 4.6.1,100,100,0,2632134.06,130,8/21/18,12/28/18,12/28/18,CJ HICBAN,DAVAO SANTHONY BUILDERS CORP.,Completed,2019-01-01,January,2019,
2019-01-01,"Construction of Multipurpose Building, Brgy. Lamian",Surallah,CY 2018 20% LDF,16.22,14.03,2.19,3193878.49,120,12/20/18,4/18/19,,ME Dondiego,FH GOPITEO CONST. & SUPPLY,On-going,2019-01-01,January,2019,
2019-01-01,Rehabilitation of Lamdalag - Lamcade - Klubi Rd,Lake Sebu,2018 Cont. Appro GF#318,73.64,79.9,-6.26,7153222.57,125,8/15/18,1/24/19,,A SOBREVEGA,THREE G BUILDERS,On-going,2019-01-01,January,2019,
2019-01-01,Rehabilitation of Lamdalag - Lamcade - Klubi Rd (Phase II),Lake Sebu,2018-20% LDF,1.72,10.53,-8.81,9993373.52,150,11/14/18,4/12/19,,A SOBREVEGA,THREE G BUILDERS,On-going,2019-01-01,January,2019,
2019-01-01,"Construction of Stage, Brgy. Luhib",Lake Sebu,2018-20% LDF,29.14,37.66,-8.52,997312.62,90,11/27/18,2/24/19,,A SOBREVEGA,THREE G BUILDERS,On-going,2019-01-01,January,2019,
2019-01-01,Upgrading of Brgy. Poblacion-Matapol Road,Norala,2018-20% LDF,1.45,0.76,0.69,9976002.83,150,12/20/18,5/18/19,,A SOBREVEGA,GABRIELLAS ENTERPRISES,On-going,2019-01-01,January,2019,
2019-01-01,"Construciton of Stage, Brgy. Lahit",Lake Sebu,2018-20% LDF,15.43,25.13,-9.7,992314.81,90,12/10/18,3/9/19,,A SOBREVEGA,THREE G BUILDERS,On-going,2019-01-01,January,2019,
2019-01-01,"Const. of Bridge @ New Dumangas, T'boli-Sitio Roxas",T'boli,CY 2016 CONT. APPROP.,60.9,95.08,-34.18,24961302.94,340,6/25/17,7/9/18,,ME Dondiego,FREDEN CONSTRUCTION,"Project suspended as of July 9, 2018",2019-01-01,January,2019,
2019-01-01,Conc. Of Road Leading to Bakngeb underground River,T'boli,CY 2017 20% LDF,67.45,100,-32.55,4995579.03,80,12/25/17,6/16/18,,MJ Dauz,JAMI CONST. & SUPPLY,On-going; major issue: no heavy equipments and insuffiecient manpower,2019-01-01,January,2019,
2019-01-01,"Construction of Stage, Brgy. Datal D'lanag",T'boli,CY 2018 20% LDF,3.17,72.75,-69.58,992963.44,90,11/21/18,2/18/19,,MJ Dauz,NIRVANA CONST. & SUPPLIES,On-going,2019-01-01,January,2019,
2019-01-01,Construction of One (1) Unit Warehouse and Drier,Surallah & T'boli,PRDP,19,25.14,-6.14,2996169.76,90,11/3/18,3/7/19,,MJ Dauz,ROCKSTONE CONST. SERVICES & SUPPLY,On-going,2019-01-01,January,2019,
2019-01-01,Completion of Sports Learning Center @ Aflek NHS,T'boli,SEF SB#1-999-CONST. OF SCHOOL BLDG. & OTHER FACILITIES,23.82,22.46,1.36,995000,90,12/23/18,3/22/19,,J JANUTO,FREDEN CONSTRUCTION,On-going,2019-01-01,January,2019,
2019-01-01,Construction of 3x3 Box Culvert along T'boli-New Dumangas Road,T'boli,2018 CONT/ APPRO PDRRMF #7,0,1.57,-1.57,1916000,175,1/20/19,7/13/19,,MJ Dauz,FREDEN CONSTRUCTION,On-going,2019-01-01,January,2019,
2019-01-01,"Construction of 12.0 LM Flat Slab Bridge, Brgy. Kematu",T'boli,2018 NON-OFFICE PDRRMF 3.A.7,0,1.61,-1.61,9635278.89,300,1/15/19,11/10/19,,MJ Dauz,FH GOPITEO CONST. & SUPPLY,On-going,2019-01-01,January,2019,
2019-02-01,"Completion of Sports Learning center, Brgy. Sumbakil E/S",Polomolok,SEF SB #1-999-CONSTRUCTION OF SCHOOL BLDGS. & OTHER FACILITIES,14.59,89.09,-74.5,994602.93,90,12/16/18,3/15/19,,J JANUTO,ROCKSTONE CONST. SERVICES & SUPPLY,"On-going; lack of materials, equipments & skilled manpower on site",2019-02-01,February,2019,
2019-02-01,"Completion of Sports Learning center @ Kalyong E/S, Brgy. Landan",Polomolok,SEF SB #1-999-CONSTRUCTION OF SCHOOL BLDGS. & OTHER FACILITIES,21.81,88.21,-66.4,996872.98,90,12/12/18,3/11/19,,J JANUTO,THREE G BUILDERS,"On-going; delayed of construction activities due to the difficulty of water in the area needed for the masonry & concrete works, also lack of materials, manpower & equipment on site",2019-02-01,February,2019,
2019-02-01,"Construction of Gabion/Dike, Brgy. Klinan 6",Polomolok,SEF SB #1-999-CONSTRUCTION OF SCHOOL BLDGS. & OTHER FACILITIES,0.09,2.6,-2.51,5353075.72,72,12/16/18,2/25/19,,J JANUTO,ROCKSTONE CONST. SERVICES & SUPPLY,"Suspended as of jan. 7, 2019 due to non-availability of the specified steel sheet piles of the contractor's supplier",2019-02-01,February,2019,
2019-02-01,"Construction of Bleacher, Brgy. Koronadal Proper",Polomolok,CY 2018 20% LDF,44.99,78.91,-33.92,993780.55,60,12/16/18,2/13/19,,J JANUTO,ROCKSTONE CONST. SERVICES & SUPPLY,"Suspended as of Feb. 7, 2019 due to revised plan and variation order requested by the barangay chairman of Barangay Koronadal proper",2019-02-01,February,2019,
2019-02-01,"Construction of Multi Purpose Building, Brgy. Polo",Polomolok,CY 2018 20% LDF,12.2,11.42,0.78,3448182.89,130,12/26/18,5/4/19,,J JANUTO,"UNIFIED WORKERS CONST. & DEVELOPMENT MPC, INC.","On-going; resumed as of Feb. 18, 2019",2019-02-01,February,2019,
2019-02-01,"Construction of Sports Learning center, Brgy. Polonoling NHS",Tupi,SEF SB #1-999-CONSTRUCTION OF SCHOOL BLDGS. & OTHER FACILITIES,55.24,51.45,3.79,3190253.56,130,12/11/18,4/19/19,,J JANUTO,CRISNARD CONST. & SUPPLY,On-going,2019-02-01,February,2019,
2019-02-01,Const. of Box Culvert @ Prk. Malipayon,Tupi,CY 2017 CONT APPROP. #24,91.75,97.07,-5.32,1935054.16,135,11/5/17,2/28/19,,J JANUTO,KING BUILDERS CONST. & SUPPLY,On-going,2019-02-01,February,2019,
2019-02-01,Const. of 2CL School Bldg. w/ Two Seater Attached Toilet @ Ricardo D. Avila Elementary School,Tupi,2018 CONT. APPRO GF #41,56.08,76.83,-20.75,1979900.18,120,10/2/18,3/10/19,,J JANUTO,ILON MULTIBUILDERS CO.,On-going,2019-02-01,February,2019,
2019-02-01,"Construciton of One (1) Unit Coffee Trading Center, Brgy. Poblacion",Tupi,PRDP,64.31,80.74,-16.43,2395072.06,130,11/3/18,3/12/19,,J JANUTO,ROCKSTONE CONST. SERVICES & SUPPLY,On-going,2019-02-01,February,2019,
2019-02-01,Construciton of Signages/Wayfinders in key Tourist destination/Information Warning Devices,Tupi,2018 CONT. APPRO GF #65,0,0.24,-0.24,1784823.3,120,11/21/18,3/19/19,,J JANUTO,PASE CONSTRUCTION,"Suspended as of Dec. 5, 2018 location was already settled, waiting for the approved revised plan & variation order prepared by the PDPD",2019-02-01,February,2019,
2019-02-01,"Const. of one (1) Unit Warehouse and Drier @ Brgy. Kinilis, Polomolok & Brgy. Poblacion, Tampakan",Polomolok & Tampakan,PRDP,69.13,82.28,-13.15,2994969.77,130,11/3/18,3/12/19,,J JANUTO,ROCKSTONE CONST. SERVICES & SUPPLY,On-going,2019-02-01,February,2019,
2019-02-01,Construction of Sitio El Nama Bridge,Tupi,CY 2016 CONT APPROP. #182-GF,97,100,-3,4904647.08,220,6/12/16,1/17/17,,A. DEMETILLO,CS CONSTRUCTION & SUPPLY,On-going; subject for LD,2019-02-01,February,2019,
2019-02-01,Completion of Sports Learning Center @ Miasong Elementary School,Tupi,SEF SB #1-999-CONSTRUCTION OF SCHOOL BLDGS. & OTHER FACILITIES,14.04,16.07,-2.03,997275.95,90,1/21/19,4/20/19,,A. DEMETILLO,MS LAGMAN TRACTORS & CONST. INC.,On-going,2019-02-01,February,2019,
2019-02-01,"Construction of Covered Court, Brgy. Pula Bato",Tampakan,2018 CONT. APPRO GF #304,55.73,84.59,-28.86,4066740.44,180,9/4/18,3/2/19,,A DEMETILLO,ILON MULTIBUILDERS CO.,"Suspended as of Feb. 22, 2019 due to the presence of electric post within the site",2019-02-01,February,2019,
2019-02-01,"Construciton of Lined Canal @ Godmaling, Prk, Quezon, Brgy. Sta. Cruz",Tampakan,2018 NON-OFFICE PDRRMF 3.A.10,62.75,45.63,17.12,5336492.32,240,10/10/18,6/6/19,,A DEMETILLO,PASE CONSTRUCTION,On-going,2019-02-01,February,2019,
2019-02-01,Upgrading of Poblacion-Bukang Liwayway Road with Drainagae Canals,Tampakan,2018 20% LDF,11.87,7.94,3.93,10978444.57,150,1/22/19,6/20/19,,A DEMETILLO,"UNIFIED WORKERS CONST. & DEVELOPMENT MPC, INC.",On-going,2019-02-01,February,2019,
2019-02-01,Rehabilitation of Albagan Road,Tampakan,,89.63,100,-10.37,5986721.47,100,9/26/17,9/18/18,,A BARRIENTOS,JAMI CONST. & SUPPLY,On-going; due for LD,2019-02-01,February,2019,
2019-02-01,Const. of Albagan Gym with Stage,Tampakan,CY 2017 20% LDF,90.64,100,-9.36,4033389.66,200,11/28/17,6/15/18,,A BARRIENTOS,JAMI CONST. & SUPPLY,On-going; due for LD,2019-02-01,February,2019,
2019-02-01,"Const. of Salway Box Culvert, Brgy. Tablu",Tampakan,9999-Non-Office 5% CF,60.78,91.2,-30.42,2987473.44,135,12/26/17,10/17/18,,A BARRIENTOS,MFN BUILDERS,"Suspended as of oct. 11, 2018 due to the suited actual field condition by straightening the roadway traverse line was contrary to the approved plan",2019-02-01,February,2019,
